"Date(UTC)","UnixTimeStamp","Value (Wei)","Value (ETH/USD)"
"4/13/2016","1460505600","25246911318","8.02"
"4/14/2016","1460592000","25758426765","8.48"
"4/15/2016","1460678400","22848354360","8.22"
"4/16/2016","1460764800","22969314896","8.48"
"4/17/2016","1460851200","23167419890","9.45"
"4/18/2016","1460937600","22692256964","8.92"
"4/19/2016","1461024000","22921917181","8.77"
"4/20/2016","1461110400","23244541703","8.54"
"4/21/2016","1461196800","24583057704","8.16"
"4/22/2016","1461283200","23168317793","7.83"
"4/23/2016","1461369600","23328772911","8.31"
"4/24/2016","1461456000","22898306186","8.00"
"4/25/2016","1461542400","22894325246","7.43"
"4/26/2016","1461628800","24013247909","7.50"
"4/27/2016","1461715200","22769355411","7.77"
"4/28/2016","1461801600","23151110557","7.30"
"4/29/2016","1461888000","22517844341","7.52"
"4/30/2016","1461974400","23589420595","8.83"
"5/1/2016","1462060800","24074701211","8.76"
"5/2/2016","1462147200","23735031560","10.03"
"5/3/2016","1462233600","24296239464","9.37"
"5/4/2016","1462320000","23683442809","9.43"
"5/5/2016","1462406400","24293386757","9.79"
"5/6/2016","1462492800","23038005218","9.27"
"5/7/2016","1462579200","23118154788","9.30"
"5/8/2016","1462665600","23310345000","9.44"
"5/9/2016","1462752000","23021017203","9.32"
"5/10/2016","1462838400","23592720268","9.39"
"5/11/2016","1462924800","23627226077","9.97"
"5/12/2016","1463011200","25330807567","10.10"
"5/13/2016","1463097600","28093994639","10.48"
"5/14/2016","1463184000","23703052414","10.14"
"5/15/2016","1463270400","22439773235","9.94"
"5/16/2016","1463356800","22740132145","11.04"
"5/17/2016","1463443200","22852181919","12.26"
"5/18/2016","1463529600","23498384260","13.29"
"5/19/2016","1463616000","23539460755","14.49"
"5/20/2016","1463702400","23617555647","13.73"
"5/21/2016","1463788800","22932813089","13.95"
"5/22/2016","1463875200","22915048414","14.21"
"5/23/2016","1463961600","23047905809","13.45"
"5/24/2016","1464048000","23390787327","12.62"
"5/25/2016","1464134400","23119167836","12.53"
"5/26/2016","1464220800","22614164987","12.37"
"5/27/2016","1464307200","23740827315","11.11"
"5/28/2016","1464393600","26746665349","11.56"
"5/29/2016","1464480000","23677018969","12.28"
"5/30/2016","1464566400","23145863918","12.48"
"5/31/2016","1464652800","22735089093","13.85"
"6/1/2016","1464739200","22687558792","13.83"
"6/2/2016","1464825600","22831513081","13.78"
"6/3/2016","1464912000","22754854055","13.78"
"6/4/2016","1464998400","22562926511","13.66"
"6/5/2016","1465084800","22634657554","13.85"
"6/6/2016","1465171200","23217826841","13.96"
"6/7/2016","1465257600","23737534493","14.41"
"6/8/2016","1465344000","23042966451","14.44"
"6/9/2016","1465430400","22658862386","14.49"
"6/10/2016","1465516800","22804128940","13.97"
"6/11/2016","1465603200","22375029283","14.01"
"6/12/2016","1465689600","22951154962","15.57"
"6/13/2016","1465776000","22759240658","17.55"
"6/14/2016","1465862400","22856579441","18.70"
"6/15/2016","1465948800","22714226454","18.30"
"6/16/2016","1466035200","23212696396","20.61"
"6/17/2016","1466121600","24632069593","15.49"
"6/18/2016","1466208000","24843768913","11.36"
"6/19/2016","1466294400","22736174769","12.33"
"6/20/2016","1466380800","22691090048","11.70"
"6/21/2016","1466467200","25068845210","12.71"
"6/22/2016","1466553600","23017973391","13.21"
"6/23/2016","1466640000","22617185981","13.58"
"6/24/2016","1466726400","22376397200","14.25"
"6/25/2016","1466812800","22497935939","14.28"
"6/26/2016","1466899200","22141167067","13.82"
"6/27/2016","1466985600","22312348466","14.04"
"6/28/2016","1467072000","22584213073","12.15"
"6/29/2016","1467158400","22918582594","12.76"
"6/30/2016","1467244800","22446491113","12.40"
